2017 NAICS Code (NAICS),Meaning of NAICS Code (NAICS_LABEL),Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of firms (FIRM),Number of establishments (ESTAB),Number of employees (EMP),(DHS) denominator (DENOM),Number of establishments born during the last 12 months (ESTABS_ENTRY),Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE),Number of establishments exited during the last 12 months (ESTABS_EXIT),Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE),Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION),Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS),Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS),Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS),Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE),Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION),Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS),Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS),Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS),Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE),Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION),Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE),Rate of reallocation during the last 12 months (REALLOCATION_RATE),Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS),Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS),Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP)
31-33,Manufacturing,Total,All establishments,2019,"227,736","271,567","12,084,817","11,983,812","16,758",6.148,"18,788",6.893,"1,085,553","214,623","870,930",1.791,9.058,"881,691","248,016","633,675",2.07,7.357,"203,862",1.701,14.715,"14,473","14,622","128,111"
31-33,Manufacturing,Total,All establishments,2020,"223,091","266,833","11,958,945","12,020,855","15,951",5.926,"20,631",7.665,"960,320","207,989","752,331",1.73,7.989,"1,084,544","268,120","816,424",2.23,9.022,"−124,224",−1.033,15.978,"16,145","16,399","144,850"
31-33,Manufacturing,Total,Establishments with 1 to 4 employees,2011,"96,915","99,595","244,988","246,839","14,691",14.557,"17,345",17.187,"67,471","38,981","28,490",15.792,27.334,"70,912","43,865","27,047",17.771,28.728,"−3,441",−1.394,54.668,"12,864","12,918","33,535"
31-33,Manufacturing,Total,Establishments with 1 to 4 employees,2012,"97,285","99,905","246,449","245,449","14,714",14.703,"15,059",15.047,"67,599","38,833","28,766",15.821,27.541,"65,695","39,798","25,897",16.214,26.765,"1,904",0.776,53.53,"11,048","11,095","29,859"
31-33,Manufacturing,Total,Establishments with 1 to 4 employees,2013,"94,262","96,813","236,218","238,330","13,645",13.989,"15,101",15.482,"61,414","35,936","25,478",15.078,25.768,"65,500","39,582","25,918",16.608,27.483,"−4,086",−1.714,51.537,"11,358","11,386","30,507"
31-33,Manufacturing,Total,Establishments with 1 to 4 employees,2014,"93,931","96,595","237,253","236,183","14,026",14.506,"14,214",14.701,"63,908","38,200","25,708",16.174,27.059,"61,772","37,049","24,723",15.687,26.154,"2,136",0.904,52.309,"10,827","10,862","28,871"
31-33,Manufacturing,Total,Establishments with 1 to 4 employees,2015,"93,623","96,371","238,316","236,021","14,465",15.037,"14,110",14.668,"65,915","39,985","25,930",16.941,27.928,"61,092","37,116","23,976",15.726,25.884,"4,823",2.043,51.768,"10,908","10,932","29,547"
31-33,Manufacturing,Total,Establishments with 1 to 4 employees,2016,"92,996","95,854","236,644","235,532","14,390",15.037,"14,076",14.709,"64,905","40,006","24,899",16.985,27.557,"62,508","37,588","24,920",15.959,26.539,"2,397",1.018,53.078,"11,052","11,086","30,307"
31-33,Manufacturing,Total,Establishments with 1 to 4 employees,2017,"92,139","94,927","231,989","234,138","13,847",14.531,"14,574",15.294,"61,460","37,558","23,902",16.041,26.249,"65,579","39,548","26,031",16.891,28.009,"−4,119",−1.759,52.499,"11,119","11,165","30,401"
31-33,Manufacturing,Total,Establishments with 1 to 4 employees,2018,"90,793","94,461","231,685","231,563","14,082",14.886,"14,361",15.181,"61,890","38,382","23,508",16.575,26.727,"61,853","38,076","23,777",16.443,26.711,37,0.016,53.422,"11,436","11,458","30,421"
31-33,Manufacturing,Total,Establishments with 1 to 4 employees,2019,"90,039","93,350","227,475","229,639","13,287",14.133,"14,621",15.551,"58,992","36,161","22,831",15.747,25.689,"63,086","38,909","24,177",16.944,27.472,"−4,094",−1.783,51.378,"11,731","11,788","31,572"
31-33,Manufacturing,Total,Establishments with 1 to 4 employees,2020,"87,709","90,849","219,842","226,288","12,512",13.508,"16,064",17.343,"55,334","33,633","21,701",14.863,24.453,"67,797","43,133","24,664",19.061,29.961,"−12,463",−5.508,48.906,"13,255","13,342","35,581"
31-33,Manufacturing,Total,Establishments with 5 to 9 employees,2011,"48,615","50,662","361,512","363,710","1,551",3.049,"1,968",3.869,"62,915","20,681","42,234",5.686,17.298,"67,136","26,922","40,214",7.402,18.459,"−4,221",−1.161,34.596,"1,465","1,484","20,251"
31-33,Manufacturing,Total,Establishments with 5 to 9 employees,2012,"48,488","50,513","363,041","361,945","1,579",3.115,"1,935",3.817,"63,339","21,277","42,062",5.879,17.5,"61,167","26,285","34,882",7.262,16.9,"2,172",0.6,33.799,"1,387","1,396","18,871"
31-33,Manufacturing,Total,Establishments with 5 to 9 employees,2013,"47,356","49,210","351,071","351,480","1,428",2.893,"1,739",3.523,"56,428","19,243","37,185",5.475,16.054,"57,238","23,614","33,624",6.718,16.285,−810,−0.230,32.109,"1,258","1,274","17,166"
31-33,Manufacturing,Total,Establishments with 5 to 9 employees,2014,"47,358","49,227","352,587","350,898","1,491",3.026,"1,579",3.205,"57,527","20,018","37,509",5.705,16.394,"54,261","21,434","32,827",6.108,15.463,"3,266",0.931,30.927,"1,173","1,178","15,886"
31-33,Manufacturing,Total,Establishments with 5 to 9 employees,2015,"47,145","49,068","353,271","350,617","1,590",3.239,"1,635",3.331,"59,053","21,376","37,677",6.097,16.843,"53,824","22,099","31,725",6.303,15.351,"5,229",1.491,30.702,"1,219","1,225","16,477"
31-33,Manufacturing,Total,Establishments with 5 to 9 employees,2016,"47,257","49,311","352,258","352,650","1,662",3.368,"1,738",3.522,"58,497","22,428","36,069",6.36,16.588,"59,200","23,775","35,425",6.742,16.787,−703,−0.199,33.176,"1,349","1,352","18,405"
31-33,Manufacturing,Total,Establishments with 5 to 9 employees,2017,"47,060","49,040","349,524","351,293","1,582",3.217,"1,841",3.744,"57,364","21,343","36,021",6.076,16.329,"60,795","24,816","35,979",7.064,17.306,"−3,431",−0.977,32.659,"1,302","1,307","17,452"
31-33,Manufacturing,Total,Establishments with 5 to 9 employees,2018,"46,385","48,440","348,643","346,695","1,601",3.303,"1,671",3.447,"59,371","21,761","37,610",6.277,17.125,"55,857","22,615","33,242",6.523,16.111,"3,514",1.014,32.223,"1,256","1,263","17,035"
31-33,Manufacturing,Total,Establishments with 5 to 9 employees,2019,"45,642","47,716","340,182","342,397","1,469",3.069,"1,767",3.692,"54,043","19,540","34,503",5.707,15.784,"58,269","24,147","34,122",7.052,17.018,"−4,226",−1.234,31.567,"1,374","1,384","18,776"
31-33,Manufacturing,Total,Establishments with 5 to 9 employees,2020,"44,635","46,783","331,417","337,354","1,390",2.953,"1,962",4.168,"50,056","18,965","31,091",5.622,14.838,"61,914","26,634","35,280",7.895,18.353,"−11,858",−3.515,29.676,"1,476","1,492","20,120"
31-33,Manufacturing,Total,Establishments with 10 to 19 employees,2011,"41,397","44,173","635,388","634,550",899,2.028,"1,208",2.725,"90,675","24,789","65,886",3.907,14.29,"89,260","33,718","55,542",5.314,14.067,"1,415",0.223,28.133,767,775,"21,319"
31-33,Manufacturing,Total,Establishments with 10 to 19 employees,2012,"40,706","43,432","629,685","624,732",983,2.258,"1,200",2.756,"91,769","26,967","64,802",4.317,14.689,"81,727","32,879","48,848",5.263,13.082,"10,042",1.607,26.164,765,775,"21,279"
31-33,Manufacturing,Total,Establishments with 10 to 19 employees,2013,"39,981","42,683","615,629","614,426",879,2.053,"1,138",2.658,"81,264","24,311","56,953",3.957,13.226,"78,939","31,245","47,694",5.085,12.848,"2,325",0.378,25.695,705,711,"19,295"
31-33,Manufacturing,Total,Establishments with 10 to 19 employees,2014,"40,207","42,919","619,806","618,028",951,2.21,"1,173",2.726,"83,417","26,453","56,964",4.28,13.497,"79,808","32,526","47,282",5.263,12.913,"3,609",0.584,25.827,711,717,"19,584"
31-33,Manufacturing,Total,Establishments with 10 to 19 employees,2015,"40,096","42,752","617,605","613,667",955,2.231,"1,076",2.513,"83,327","26,313","57,014",4.288,13.579,"75,359","29,864","45,495",4.866,12.28,"7,968",1.298,24.56,707,712,"19,559"
31-33,Manufacturing,Total,Establishments with 10 to 19 employees,2016,"40,102","42,867","613,753","615,346",996,2.319,"1,144",2.664,"80,890","27,304","53,586",4.437,13.145,"84,058","31,781","52,277",5.165,13.66,"−3,168",−0.515,26.291,749,756,"20,722"
31-33,Manufacturing,Total,Establishments with 10 to 19 employees,2017,"39,877","42,765","614,070","617,664",979,2.28,"1,328",3.093,"83,021","27,129","55,892",4.392,13.441,"90,170","37,038","53,132",5.996,14.599,"−7,149",−1.157,26.882,835,849,"23,709"
31-33,Manufacturing,Total,Establishments with 10 to 19 employees,2018,"39,407","42,281","610,931","608,929",964,2.274,"1,199",2.828,"84,657","26,384","58,273",4.333,13.903,"80,722","33,387","47,335",5.483,13.256,"3,935",0.646,26.513,812,821,"22,635"
31-33,Manufacturing,Total,Establishments with 10 to 19 employees,2019,"39,152","42,095","603,830","604,615",904,2.142,"1,134",2.687,"77,874","24,701","53,173",4.085,12.88,"79,348","31,004","48,344",5.128,13.124,"−1,474",−0.244,25.76,817,823,"22,306"
31-33,Manufacturing,Total,Establishments with 10 to 19 employees,2020,"38,604","41,511","592,740","598,714",928,2.228,"1,209",2.903,"73,864","25,522","48,342",4.263,12.337,"85,625","33,135","52,490",5.534,14.301,"−11,761",−1.964,24.674,805,838,"22,766"
31-33,Manufacturing,Total,Establishments with 1 to 19 employees,2011,"184,743","194,430","1,241,888","1,245,099","17,141",8.74,"20,521",10.463,"221,204","84,451","136,753",6.783,17.766,"227,463","104,505","122,958",8.393,18.269,"−6,259",−0.503,35.532,"15,065","15,177","75,105"
31-33,Manufacturing,Total,Establishments with 1 to 19 employees,2012,"184,430","193,850","1,239,175","1,232,126","17,276",8.891,"18,194",9.363,"222,843","87,077","135,766",7.067,18.086,"208,734","98,962","109,772",8.032,16.941,"14,109",1.145,33.882,"13,164","13,266","70,009"
31-33,Manufacturing,Total,Establishments with 1 to 19 employees,2013,"179,602","188,706","1,202,918","1,204,235","15,952",8.408,"17,978",9.476,"199,249","79,490","119,759",6.601,16.546,"201,845","94,441","107,404",7.842,16.761,"−2,596",−0.216,33.091,"13,294","13,371","66,968"
31-33,Manufacturing,Total,Establishments with 1 to 19 employees,2014,"179,448","188,741","1,209,646","1,205,108","16,468",8.714,"16,966",8.977,"205,024","84,671","120,353",7.026,17.013,"196,010","91,009","105,001",7.552,16.265,"9,014",0.748,32.53,"12,693","12,757","64,341"
31-33,Manufacturing,Total,Establishments with 1 to 19 employees,2015,"178,682","188,191","1,209,192","1,200,304","17,010",9.043,"16,821",8.943,"208,481","87,674","120,807",7.304,17.369,"190,452","89,079","101,373",7.421,15.867,"18,029",1.502,31.734,"12,819","12,869","65,583"
31-33,Manufacturing,Total,Establishments with 1 to 19 employees,2016,"178,166","188,032","1,202,655","1,203,527","17,048",9.069,"16,958",9.021,"204,487","89,738","114,749",7.456,16.991,"205,940","93,144","112,796",7.739,17.111,"−1,453",−0.121,33.981,"13,128","13,194","69,434"
31-33,Manufacturing,Total,Establishments with 1 to 19 employees,2017,"176,858","186,732","1,195,583","1,203,095","16,408",8.756,"17,743",9.468,"202,062","86,030","116,032",7.151,16.795,"216,773","101,402","115,371",8.428,18.018,"−14,711",−1.223,33.59,"13,230","13,321","71,562"
31-33,Manufacturing,Total,Establishments with 1 to 19 employees,2018,"174,345","185,182","1,191,259","1,187,186","16,647",8.975,"17,231",9.29,"206,127","86,527","119,600",7.288,17.363,"198,652","94,078","104,574",7.924,16.733,"7,475",0.63,33.466,"13,480","13,542","70,091"
31-33,Manufacturing,Total,Establishments with 1 to 19 employees,2019,"172,645","183,161","1,171,487","1,176,650","15,660",8.507,"17,522",9.518,"191,138","80,402","110,736",6.833,16.244,"200,957","94,060","106,897",7.994,17.079,"−9,819",−0.834,32.489,"13,880","13,995","72,654"
31-33,Manufacturing,Total,Establishments with 1 to 19 employees,2020,"168,802","179,143","1,143,999","1,162,355","14,830",8.178,"19,235",10.607,"179,488","78,120","101,368",6.721,15.442,"215,636","102,902","112,734",8.853,18.552,"−36,148",−3.110,30.884,"15,484","15,672","78,467"
31-33,Manufacturing,Total,Establishments with 20 to 99 employees,2011,"49,931","62,434","2,832,032","2,806,350",863,1.377,"1,315",2.099,"335,086","69,834","265,252",2.488,11.94,"283,501","109,611","173,890",3.906,10.102,"51,585",1.838,20.204,539,565,"43,478"
31-33,Manufacturing,Total,Establishments with 20 to 99 employees,2012,"50,919","63,302","2,881,909","2,850,430",936,1.475,"1,288",2.029,"338,623","73,808","264,815",2.589,11.88,"275,672","104,017","171,655",3.649,9.671,"62,951",2.208,19.342,550,567,"42,761"
31-33,Manufacturing,Total,Establishments with 20 to 99 employees,2013,"50,841","62,975","2,845,784","2,843,011",794,1.256,"1,230",1.946,"288,881","64,804","224,077",2.279,10.161,"283,104","103,029","180,075",3.624,9.958,"5,777",0.203,19.916,575,593,"46,019"
31-33,Manufacturing,Total,Establishments with 20 to 99 employees,2014,"51,094","63,296","2,862,718","2,847,934",946,1.492,"1,189",1.875,"303,510","75,846","227,664",2.663,10.657,"274,107","94,535","179,572",3.319,9.625,"29,403",1.032,19.25,541,547,"40,736"
31-33,Manufacturing,Total,Establishments with 20 to 99 employees,2015,"51,391","63,646","2,885,685","2,863,630",995,1.561,"1,213",1.903,"310,338","79,770","230,568",2.786,10.837,"266,377","95,993","170,384",3.352,9.302,"43,961",1.535,18.604,589,610,"45,096"
31-33,Manufacturing,Total,Establishments with 20 to 99 employees,2016,"51,097","63,569","2,851,553","2,859,724",883,1.387,"1,104",1.734,"281,197","72,048","209,149",2.519,9.833,"296,709","89,435","207,274",3.127,10.375,"−15,512",−0.542,19.666,534,548,"40,462"
31-33,Manufacturing,Total,Establishments with 20 to 99 employees,2017,"50,166","62,896","2,842,287","2,844,684","1,012",1.602,"1,542",2.441,"317,478","84,693","232,785",2.977,11.16,"322,369","125,678","196,691",4.418,11.332,"−4,891",−0.172,22.321,710,736,"56,955"
31-33,Manufacturing,Total,Establishments with 20 to 99 employees,2018,"50,009","62,819","2,852,509","2,832,370","1,010",1.607,"1,109",1.764,"319,252","83,161","236,091",2.936,11.272,"280,076","90,841","189,235",3.207,9.888,"39,176",1.383,19.777,567,602,"46,894"
31-33,Manufacturing,Total,Establishments with 20 to 99 employees,2019,"49,978","62,956","2,863,673","2,842,789",953,1.512,"1,103",1.75,"302,680","78,510","224,170",2.762,10.647,"261,587","87,348","174,239",3.073,9.202,"41,093",1.446,18.404,575,591,"43,946"
31-33,Manufacturing,Total,Establishments with 20 to 99 employees,2020,"49,157","62,118","2,789,039","2,816,218","1,002",1.61,"1,248",2.005,"263,354","77,230","186,124",2.742,9.351,"317,396","101,751","215,645",3.613,11.27,"−54,042",−1.919,18.703,659,683,"52,095"
31-33,Manufacturing,Total,Establishments with 100 to 499 employees,2011,"11,117","20,005","4,045,979","4,005,262",98,0.489,173,0.863,"351,623","34,402","317,221",0.859,8.779,"270,174","61,154","209,020",1.527,6.745,"81,449",2.034,13.491,38,39,"11,782"
31-33,Manufacturing,Total,Establishments with 100 to 499 employees,2012,"11,454","20,513","4,163,804","4,124,035",100,0.487,161,0.784,"349,898","30,850","319,048",0.748,8.484,"269,644","54,967","214,677",1.333,6.538,"80,254",1.946,13.077,45,45,"14,228"
31-33,Manufacturing,Total,Establishments with 100 to 499 employees,2013,"11,767","20,891","4,240,716","4,213,353",98,0.468,187,0.893,"333,848","32,730","301,118",0.777,7.924,"278,816","63,157","215,659",1.499,6.617,"55,032",1.306,13.235,43,43,"15,086"
31-33,Manufacturing,Total,Establishments with 100 to 499 employees,2014,"11,892","21,136","4,297,797","4,268,130",137,0.648,168,0.794,"345,421","49,866","295,555",1.168,8.093,"284,909","61,345","223,564",1.437,6.675,"60,512",1.418,13.351,38,38,"12,879"
31-33,Manufacturing,Total,Establishments with 100 to 499 employees,2015,"12,038","21,461","4,384,124","4,336,725",149,0.695,133,0.62,"361,804","51,500","310,304",1.188,8.343,"266,502","45,348","221,154",1.046,6.145,"95,302",2.198,12.29,32,33,"11,211"
31-33,Manufacturing,Total,Establishments with 100 to 499 employees,2016,"12,136","21,616","4,370,101","4,369,878",100,0.462,129,0.596,"314,937","34,216","280,721",0.783,7.207,"313,491","44,149","269,342",1.01,7.174,"1,446",0.033,14.348,34,35,"11,997"
31-33,Manufacturing,Total,Establishments with 100 to 499 employees,2017,"11,982","21,714","4,428,867","4,397,359",118,0.543,192,0.883,"381,460","39,827","341,633",0.906,8.675,"319,477","62,877","256,600",1.43,7.265,"61,983",1.41,14.53,52,54,"17,017"
31-33,Manufacturing,Total,Establishments with 100 to 499 employees,2018,"12,113","21,913","4,483,591","4,442,388",158,0.721,141,0.644,"379,225","56,137","323,088",1.264,8.537,"297,297","45,708","251,589",1.029,6.692,"81,928",1.844,13.385,37,43,"12,839"
31-33,Manufacturing,Total,Establishments with 100 to 499 employees,2019,"12,348","22,294","4,589,256","4,543,238",139,0.623,156,0.699,"375,922","46,664","329,258",1.027,8.274,"283,099","53,075","230,024",1.168,6.231,"92,823",2.043,12.462,34,35,"10,342"
31-33,Manufacturing,Total,Establishments with 100 to 499 employees,2020,"12,408","22,374","4,543,253","4,557,249",114,0.509,139,0.621,"322,814","42,159","280,655",0.925,7.084,"351,229","46,542","304,687",1.021,7.707,"−28,415",−0.624,14.167,41,43,"13,195"
31-33,Manufacturing,Total,Establishments with 20 to 499 employees,2011,"57,750","82,439","6,878,011","6,811,612",961,1.162,"1,488",1.799,"686,795","104,236","582,559",1.53,10.083,"553,765","170,765","383,000",2.507,8.13,"133,030",1.953,16.259,571,604,"55,260"
31-33,Manufacturing,Total,Establishments with 20 to 499 employees,2012,"58,978","83,815","7,045,713","6,974,465","1,036",1.233,"1,449",1.725,"688,619","104,658","583,961",1.501,9.873,"545,407","158,984","386,423",2.28,7.82,"143,212",2.053,15.64,594,612,"56,989"
31-33,Manufacturing,Total,Establishments with 20 to 499 employees,2013,"59,194","83,866","7,086,500","7,056,364",892,1.06,"1,417",1.684,"622,786","97,534","525,252",1.382,8.826,"562,005","166,186","395,819",2.355,7.965,"60,781",0.861,15.929,614,636,"61,105"
31-33,Manufacturing,Total,Establishments with 20 to 499 employees,2014,"59,584","84,432","7,160,515","7,116,064","1,083",1.281,"1,357",1.605,"649,007","125,712","523,295",1.767,9.12,"559,103","155,880","403,223",2.191,7.857,"89,904",1.263,15.714,577,585,"53,615"
31-33,Manufacturing,Total,Establishments with 20 to 499 employees,2015,"59,958","85,107","7,269,809","7,200,355","1,144",1.343,"1,346",1.58,"672,199","131,270","540,929",1.823,9.336,"532,949","141,341","391,608",1.963,7.402,"139,250",1.934,14.803,618,643,"56,307"
31-33,Manufacturing,Total,Establishments with 20 to 499 employees,2016,"59,723","85,185","7,221,654","7,229,602",983,1.152,"1,233",1.445,"596,173","106,264","489,909",1.47,8.246,"610,247","133,584","476,663",1.848,8.441,"−14,074",−0.195,16.493,567,583,"52,459"
31-33,Manufacturing,Total,Establishments with 20 to 499 employees,2017,"58,587","84,610","7,271,154","7,242,043","1,130",1.331,"1,734",2.042,"698,975","124,520","574,455",1.719,9.652,"641,906","188,555","453,351",2.604,8.864,"57,069",0.788,17.727,760,790,"73,972"
31-33,Manufacturing,Total,Establishments with 20 to 499 employees,2018,"58,583","84,732","7,336,100","7,274,758","1,168",1.378,"1,250",1.475,"698,538","139,298","559,240",1.915,9.602,"577,445","136,549","440,896",1.877,7.938,"121,093",1.665,15.875,598,645,"59,733"
31-33,Manufacturing,Total,Establishments with 20 to 499 employees,2019,"58,793","85,250","7,452,929","7,386,027","1,092",1.28,"1,259",1.475,"678,671","125,174","553,497",1.695,9.189,"544,773","140,423","404,350",1.901,7.376,"133,898",1.813,14.751,606,626,"54,288"
31-33,Manufacturing,Total,Establishments with 20 to 499 employees,2020,"57,997","84,492","7,332,292","7,373,467","1,116",1.319,"1,387",1.639,"586,232","119,389","466,843",1.619,7.951,"668,725","148,293","520,432",2.011,9.069,"−82,493",−1.119,15.901,695,726,"65,290"
31-33,Manufacturing,Total,Establishments with 500 employees or more,2011,"1,268","2,619","2,827,154","2,827,933",3,0.114,6,0.229,"156,644","5,121","151,523",0.181,5.539,"158,945","8,347","150,598",0.295,5.621,"−2,301",−0.081,11.078,0,0,0
31-33,Manufacturing,Total,Establishments with 500 employees or more,2012,"1,314","2,681","2,905,291","2,883,655",5,0.186,6,0.224,"191,539","8,212","183,327",0.285,6.642,"147,724","9,136","138,588",0.317,5.123,"43,815",1.519,10.246,3,3,"5,513"
31-33,Manufacturing,Total,Establishments with 500 employees or more,2013,"1,347","2,728","2,957,880","2,939,770",4,0.147,4,0.147,"170,583","10,963","159,620",0.373,5.803,"136,873","5,034","131,839",0.171,4.656,"33,710",1.147,9.312,0,0,0
31-33,Manufacturing,Total,Establishments with 500 employees or more,2014,"1,395","2,783","3,006,284","2,997,252",5,0.18,6,0.216,"184,679","8,962","175,717",0.299,6.162,"164,855","14,720","150,135",0.491,5.5,"19,824",0.661,11,0,0,0
31-33,Manufacturing,Total,Establishments with 500 employees or more,2015,"1,406","2,856","3,086,103","3,064,152",5,0.175,7,0.245,"202,339","12,885","189,454",0.421,6.603,"158,110","15,764","142,346",0.514,5.16,"44,229",1.443,10.32,0,0,0
31-33,Manufacturing,Total,Establishments with 500 employees or more,2016,"1,423","2,933","3,151,521","3,136,517",D,D,4,0.136,"180,464",D,"177,733",D,5.754,"150,420","10,039","140,381",0.32,4.796,"30,044",0.958,9.592,0,0,0
31-33,Manufacturing,Total,Establishments with 500 employees or more,2017,"1,454","2,979","3,246,315","3,214,831",7,0.235,11,0.369,"215,732","8,621","207,111",0.268,6.711,"154,116","16,634","137,482",0.517,4.794,"61,616",1.917,9.588,0,0,0
31-33,Manufacturing,Total,Establishments with 500 employees or more,2018,"1,509","3,090","3,348,755","3,325,152",4,0.129,3,0.097,"198,253","4,738","193,515",0.142,5.962,"151,264","5,892","145,372",0.177,4.549,"46,989",1.413,9.098,D,D,D
31-33,Manufacturing,Total,Establishments with 500 employees or more,2019,"1,536","3,156","3,460,401","3,421,135",6,0.19,7,0.222,"215,548","9,047","206,501",0.264,6.3,"135,677","13,533","122,144",0.396,3.966,"79,871",2.335,7.932,D,D,D
31-33,Manufacturing,Total,Establishments with 500 employees or more,2020,"1,572","3,198","3,482,654","3,485,034",5,0.156,9,0.281,"194,338","10,480","183,858",0.301,5.576,"199,859","16,925","182,934",0.486,5.735,"−5,521",−0.158,11.153,D,D,D
31-33,Manufacturing,Total,Establishments with 500 to 999 employees,2011,"1,071","1,826","1,228,003","1,225,752",D,D,6,0.328,"76,864",D,"74,677",D,6.271,"72,488","8,347","64,141",0.681,5.914,"4,376",0.357,11.828,0,0,0
31-33,Manufacturing,Total,Establishments with 500 to 999 employees,2012,"1,125","1,889","1,287,122","1,274,300",4,0.212,5,0.265,"94,270","5,412","88,858",0.425,7.398,"69,234","7,231","62,003",0.567,5.433,"25,036",1.965,10.866,D,D,D
31-33,Manufacturing,Total,Establishments with 500 to 999 employees,2013,"1,152","1,928","1,317,531","1,308,575",3,0.156,4,0.207,"83,738","4,170","79,568",0.319,6.399,"66,183","5,034","61,149",0.385,5.058,"17,555",1.342,10.115,0,0,0
31-33,Manufacturing,Total,Establishments with 500 to 999 employees,2014,"1,180","1,955","1,334,030","1,323,970",4,0.205,3,0.153,"86,178","5,813","80,365",0.439,6.509,"65,956","4,416","61,540",0.334,4.982,"20,222",1.527,9.963,0,0,0
31-33,Manufacturing,Total,Establishments with 500 to 999 employees,2015,"1,176","2,019","1,383,344","1,373,307",3,0.149,4,0.198,"88,300","4,074","84,226",0.297,6.43,"67,690","4,301","63,389",0.313,4.929,"20,610",1.501,9.858,0,0,0
31-33,Manufacturing,Total,Establishments with 500 to 999 employees,2016,"1,191","2,068","1,395,341","1,392,384",D,D,D,D,"79,779",D,"77,048",D,5.73,"74,415",D,"71,018",D,5.344,"5,364",0.385,10.689,0,0,0
31-33,Manufacturing,Total,Establishments with 500 to 999 employees,2017,"1,213","2,100","1,434,860","1,421,104",7,0.333,8,0.381,"107,060","8,621","98,439",0.607,7.534,"79,736","9,459","70,277",0.666,5.611,"27,324",1.923,11.222,0,0,0
31-33,Manufacturing,Total,Establishments with 500 to 999 employees,2018,"1,266","2,172","1,474,849","1,460,127",4,0.184,D,D,"102,831","4,738","98,093",0.324,7.043,"73,442",D,"70,082",D,5.03,"29,389",2.013,10.06,D,D,D
31-33,Manufacturing,Total,Establishments with 500 to 999 employees,2019,"1,283","2,216","1,513,798","1,500,567",5,0.226,6,0.271,"98,902","6,531","92,371",0.435,6.591,"71,751","8,716","63,035",0.581,4.782,"27,151",1.809,9.563,D,D,D
31-33,Manufacturing,Total,Establishments with 500 to 999 employees,2020,"1,325","2,254","1,535,119","1,532,704",4,0.177,6,0.266,"98,465","5,009","93,456",0.327,6.424,"94,394","7,359","87,035",0.48,6.159,"4,071",0.266,12.317,D,D,D
31-33,Manufacturing,Total,"Establishments with 1,000 employees or more",2011,393,793,"1,599,151","1,602,182",D,D,0,0,"79,773",D,"76,839",D,4.979,"86,454",0,"86,454",0,5.396,"−6,681",−0.417,9.958,0,0,0
31-33,Manufacturing,Total,"Establishments with 1,000 employees or more",2012,392,792,"1,618,169","1,609,356",D,D,D,D,"97,267",D,"94,467",D,6.044,"78,490",D,"76,585",D,4.877,"18,777",1.167,9.754,D,D,D
31-33,Manufacturing,Total,"Establishments with 1,000 employees or more",2013,398,800,"1,640,349","1,631,195",D,D,0,0,"86,838",D,"80,045",D,5.324,"70,685",0,"70,685",0,4.333,"16,153",0.99,8.667,0,0,0
31-33,Manufacturing,Total,"Establishments with 1,000 employees or more",2014,426,828,"1,672,254","1,673,283",D,D,3,0.362,"98,496",D,"95,347",D,5.886,"98,907","10,304","88,603",0.616,5.911,−411,−0.025,11.773,0,0,0
31-33,Manufacturing,Total,"Establishments with 1,000 employees or more",2015,439,837,"1,702,759","1,690,846",D,D,3,0.358,"114,045",D,"105,234",D,6.745,"90,426","11,463","78,963",0.678,5.348,"23,619",1.397,10.696,0,0,0
31-33,Manufacturing,Total,"Establishments with 1,000 employees or more",2016,452,865,"1,756,180","1,744,133",0,0,D,D,"100,686",0,"100,686",0,5.773,"75,986",D,"69,344",D,4.357,"24,700",1.416,8.713,0,0,0
31-33,Manufacturing,Total,"Establishments with 1,000 employees or more",2017,458,879,"1,811,455","1,793,727",0,0,3,0.341,"108,661",0,"108,661",0,6.058,"74,369","7,175","67,194",0.4,4.146,"34,292",1.912,8.292,0,0,0
31-33,Manufacturing,Total,"Establishments with 1,000 employees or more",2018,471,918,"1,873,906","1,865,026",0,0,D,D,"95,379",0,"95,379",0,5.114,"77,803",D,"75,271",D,4.172,"17,576",0.942,8.343,0,0,0
